Date,Time,Category,Incident Description,Location,Latitude,Longitude,Synopsis
2019-01-30,0:03,TRAFFIC STOP,TRAFFIC STOP,2400 HASTE ST,37.865435,-122.259924,NA
2019-01-30,2:02,SUSPICIOUS EVENT,SUSPICIOUS PERSON,MLK,37.869249,-122.25967,NA
2019-01-30,2:20,WELFARE CHECK,WELFARE CHECK,SATHER TOWER,37.872075,-122.2578,NA
2019-01-30,5:23,TRAFFIC STOP,TRAFFIC STOP,BANCROFT/DANA,37.868553,-122.261796,NA
2019-01-30,6:51,WELFARE CHECK,CHECK WELFARE- 911 CALL,I HOUSE,37.86958,-122.251803,NA
2019-01-30,7:36,WELFARE CHECK,CHECK WELFARE- 911 CALL,HAAS BUSINESS SCHOOL,37.871571,-122.253767,NA
2019-01-30,8:23,PEDESTRIAN STOP,PEDESTRIAN STOP,ANNA HEAD ALUMNAE HALL,37.866336,-122.257558,NA
2019-01-30,10:07,TRAFFIC STOP,TRAFFIC STOP,CHANNING/COLLEGE,37.867498,-122.254253,NA
2019-01-30,10:20,TRAFFIC STOP,TRAFFIC STOP,DWIGHT E PIEDMONT,37.865921,-122.251175,NA
2019-01-30,10:22,TRAFFIC STOP,TRAFFIC STOP,UNI MLK,37.871584,-122.273037,NA
2019-01-30,10:24,TRAFFIC STOP,TRAFFIC STOP,DWIGHT/ELLSWORTH,37.864554,-122.263006,NA
2019-01-30,10:33,SUSPICIOUS EVENT,SUSPICIOUS CIRCUMSTANCE,I HOUSE,37.86958,-122.251803,NA
2019-01-30,10:50,WELFARE CHECK,CHECK WELFARE- 911 CALL,2536 CHANNING WAY/ANNA HEAD,37.866336,-122.257558,NA
2019-01-30,11:18,SEX OFFENSES,INDECENT EXPOSURE,VALLEY LIFE SCIENCE BLDG,37.871701,-122.262098,NA
2019-01-30,14:01,TRAFFIC STOP,TRAFFIC STOP,BANCROFT/BARROWS,37.868846,-122.258337,NA
2019-01-30,14:02,TRAFFIC STOP,TRAFFIC STOP,BANCROFT/BARROWS,37.868846,-122.258337,NA
2019-01-30,14:04,BIKE STOP,BIKE STOP,BANCROFT/BARROWS,37.868846,-122.258337,NA
2019-01-30,14:06,TRAFFIC STOP,TRAFFIC STOP,BANCROFT/BARROWS,37.868846,-122.258337,NA
2019-01-30,14:11,BIKE STOP,BIKE STOP,BANCROFT/BARROWS,37.868846,-122.258337,NA
2019-01-30,14:13,TRAFFIC STOP,TRAFFIC STOP,BANCROFT/BARROWS,37.868846,-122.258337,NA
2019-01-30,14:14,BIKE STOP,BIKE STOP,BANCROFT/BARROWS,37.868846,-122.258337,NA
2019-01-30,14:14,BIKE STOP,BIKE STOP,BANCROFT/BARROWS,37.868846,-122.258337,NA
2019-01-30,14:08,SUSPICIOUS EVENT,SUSPICIOUS CIRCUMSTANCE,COFFER DAM,37.872469,-122.241783,NA
2019-01-30,14:17,BIKE STOP,BIKE STOP,BANCROFT/BARROWS,37.868846,-122.258337,NA
2019-01-30,14:19,WELFARE CHECK,CHECK WELFARE- 911 CALL,LBNL-26,37.876382,-122.246293,NA
2019-01-30,14:22,BIKE STOP,BIKE STOP,BANCROFT/BARROWS,37.868846,-122.258337,NA
2019-01-30,14:23,TRAFFIC STOP,TRAFFIC STOP,BANCROFT/BARROWS,37.868846,-122.258337,NA
2019-01-30,14:25,TRAFFIC STOP,TRAFFIC STOP,BANCROFT/BARROWS,37.868846,-122.258337,NA
2019-01-30,16:50,ALL OTHER OFFENSES,RULE VIOLATION,2420 BOWDITCH ST,37.866521,-122.256304,NA
2019-01-30,16:58,TRAFFIC STOP,TRAFFIC STOP,PIEDMONT N DWIGHT,37.869613,-122.25265,NA
2019-01-30,19:34,SUSPICIOUS EVENT,SUSPICIOUS PERSON -REPORT,DOE LIBRARY,37.872195,-122.25959,NA
2019-01-30,20:21,TRAFFIC STOP,TRAFFIC STOP,BANCROFT/ELLSWORTH,37.86817,-122.264091,NA
2019-01-30,20:44,TRAFFIC STOP,TRAFFIC STOP,STRUCTURE B,37.8698,-122.255825,NA
2019-01-30,20:45,TRAFFIC STOP,TRAFFIC STOP,2400 BANCROFT WAY,37.86849,-122.261161,NA
2019-01-30,20:52,TRAFFIC STOP,TRAFFIC STOP,HASTE/COLLEGE,37.86676,-122.254162,NA
2019-01-30,21:02,FORGERY AND COUNTERFEITING,FRAUDULENT USE OF CREDIT CARD,CHOU HALL,37.872333,-122.254499,"(MA-28-S) REPORTS FRAUDULENT USE OF HIS CREDIT CARD, CHOU HALL. LOSS $3501.90"
2019-01-30,21:23,TRAFFIC STOP,TRAFFIC STOP,PARKER BEN,37.863525,-122.255007,NA
2019-01-30,21:35,TRAFFIC STOP,TRAFFIC STOP,HASTE/TELEGRAPH,37.866028,-122.258642,NA
2019-01-30,21:59,TRAFFIC STOP,TRAFFIC STOP,CLAIR ASHBY,37.858053,-122.245339,NA
2019-01-30,22:11,TRAFFIC STOP,TRAFFIC STOP,DURANT/FULTON,37.866942,-122.265828,NA
2019-01-30,22:55,WELFARE CHECK,CHECK WELFARE- 911 CALL,CORY HALL,37.875046,-122.257523,NA
2019-01-30,23:12,TRAFFIC STOP,TRAFFIC STOP,UNI/SHATTUCK,37.872153,-122.268411,NA
2019-01-30,23:15,TRAFFIC STOP,TRAFFIC STOP,BANCROFT IFO BANWAY,37.867718,-122.266855,NA
2019-01-30,23:47,PEDESTRIAN STOP,SUSPECT STOP,2001 ADDISON ST,37.871176,-122.270436,NA
